[12, 50;
]
[13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
15, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
10, 0;
11, 0;
13, 0;
12, 0;
13, 0;
10, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
11, 0;
13, 0;
12, 0;
14, 0;
13, 0;
13, 0;
12, 0;
12, 0;
10, 0;
14, 0;
11, 0;
13, 0;
11, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
10, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
14, 0;
13, 0;
15, 0;
14, 0;
12, 0;
13, 0;
12, 0;
13, 0;
11, 0;
10, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
14, 0;
13, 0;
16, 0;
15, 0;
12, 0;
13, 0;
13, 0;
13, 0;
15, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
10, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
15, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
11, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
12, 0;
12, 0;
13, 0;
12, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
10, 0;
10, 0;
10, 0;
10, 0;
8, 0;
9, 0;
11, 0;
11, 0;
11, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
12, 0;
11, 0;
10, 0;
10, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
11, 50;
10, 0;
12, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
11, 0;
11, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
8, 0;
10, 0;
11, 0;
9, 0;
10, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
11, 0;
11, 0;
11, 0;
11, 0;
12, 0;
12, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
12, 0;
11, 0;
14, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
11, 0;
11, 0;
12, 0;
12, 0;
11, 0;
11, 0;
11, 0;
12, 0;
11, 0;
9, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
11, 0;
11, 0;
12, 0;
11, 0;
11, 0;
12, 0;
11, 0;
12, 0;
11, 0;
11, 0;
11, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
11, 0;
11, 0;
12, 0;
11, 0;
12, 0;
11, 0;
12, 0;
12, 0;
12, 0;
11, 0;
11, 0;
12, 0;
12, 0;
11, 0;
12, 0;
12, 0;
9, 0;
12, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
15, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
12, 0;
12, 0;
14, 0;
13, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
10, 0;
13, 0;
12, 0;
13, 0;
12, 0;
12, 0;
15, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
12, 0;
13, 0;
12, 0;
13, 0;
13, 0;
12, 0;
12, 0;
13, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
13, 0;
13, 0;
12, 0;
13, 0;
